Part,Value,Device,Package,Notes
C1,220uF,CPOL-USE,PANASONIC_E,
C2,2.2uF,CAPACITOR.0603,603,
C3,22uF,CAPACITOR.0805,805,
C4,220uF,CPOL-USE,PANASONIC_E,
C5,10uF,CAPACITOR.1206,1206,
C6,10nF,CAPACITOR.0603,603,
C7,330uF,CPOL-USE,PANASONIC_E,
C8,100uF,CPOL-USE,PANASONIC_E,
C9,.1uF,CAPACITOR.0603,603,
C10,.1uF,CAPACITOR.0603,603,
C11,.1uF,CAPACITOR.0603,603,
C12,.1uF,CAPACITOR.0603,603,
C13,.1uF,CAPACITOR.0603,603,
C14,.1uF,CAPACITOR.0603,603,
C15,100uF,CPOL-USE,PANASONIC_E,
C16,.1uF,CAPACITOR.0603,603,
C17,.1uF,CAPACITOR.0603,603,
C18,.1uF,CAPACITOR.0603,603,
C19,.1uF,CAPACITOR.0603,603,
C20,.1uF,CAPACITOR.0603,603,
C21,.1uF,CAPACITOR.0603,603,
C22,10nF,CAPACITOR.0603,603,
C23,2.2uF,CAPACITOR.0603,603,
C24,.1uF,CAPACITOR.0603,603,
C25,.1uF,CAPACITOR.0603,603,
C26,1uF,CAPACITOR.0603,603,
C27,.1uF,CAPACITOR.0603,603,
C28,1uF,CAPACITOR.0603,603,
C29,.1uF,CAPACITOR.0603,603,
C30,1uF,CAPACITOR.0603,603,
D1,CDBMT2100-HF,CDBMT____-HF,SOD-123H,
D2,CDBC5XXX-G,CDBC5XXX-G,DO-214AB,
D3,CDBMT2100-HF,CDBMT____-HF,SOD-123H,
D4,CDBMT2100-HF,CDBMT____-HF,SOD-123H,
H1-18,2x3 x2,2x3 x2,TSW-103-07-F-D-LL,Buy/sample from Samtec
H24,2X10.TSM-D-A,2X10.TSM-D-A,TSM-110-01-L-DV-A-P-TR,Buy/sample from Samtec
H25,2X10.TSM-D-A,2X10.TSM-D-A,TSM-110-01-L-DV-A-P-TR,Buy/sample from Samtec
H26,1X8,1X8,1824480000,Buy from Digikey
H27,1X3.4DB,1X3.4DB,4DB-P108-02,
Xbee Headers,,,MMS-110-02-L-SV-P-TR,Buy/sample from Samtec
L1,10uH,INDUCTOR-SRN6045,SRN6045,
L2,10uH,INDUCTOR.XAL6060,XAL6060,Samples direct from Coilcraft
LED0,,LED.0603,0603.LED,
LED1,,LED.0603,0603.LED,
LED2,,LED.0603,0603.LED,
Q1,FDMA3028N,FDMA,MICROFET.2X2,
R1,0.5u,RESISTOR.2512,2512,
R2,1k,RESISTOR.0603,603,
R3,10k,RESISTOR.0603,603,
R4,3.24k,RESISTOR.0603,603,
R5,1.5k,RESISTOR.0603,603,
R6,10k,RESISTOR.0603,603,
R7,2.2k,RESISTOR.0603,603,
R8,2.2k,RESISTOR.0603,603,
R9,1k,RESISTOR.0603,603,
U1,INA220.DGS,INA220.DGS,DGS.10,
U2,TPS62177.DQC,TPS62177.DQC,DQC,
U3,TPS5450,TPS54X0,DDA,
U4,DRV8800,DRV8800.RTY,RTY.16,
U5,DRV8800,DRV8800.RTY,RTY.16,
U6,DRV8800,DRV8800.RTY,RTY.16,
U7,DRV8800,DRV8800.RTY,RTY.16,
U8,PCA9538.RGV,PCA9538.RGV,RGV.16,
U9,MPU-6050,MPU-6050,QFN.24.4X4,Buy direct from Invensense
U10,XBEE-1B3,XBEE-1B3,XBEE-SMD,See Samtec Headers
U11,SCHA4B0400,SCHA4B0400,SCHA4B0400,
